OMNIKNIGHT, PUDGE, SPECTRE, LEGION COMMANDER, DISRUPTOR, MEDUSA, ABADDON, WRAITH KING, PUGNA, NECROPHOS
LIFESTEALER, PUCK, RIKI, PUDGE, NAGA SIREN, WINDRANGER, URSA, LUNA, ANCIENT APPARITION, TIDEHUNTER
MIRANA, BLOODSEEKER, ANCIENT APPARITION, ABADDON, SVEN, NAGA SIREN, LEGION COMMANDER, NATURES PROPHET, SILENCER, WINDRANGER
SPIRIT BREAKER, WINDRANGER, LION, SNIPER, SHADOW FIEND, TIDEHUNTER, URSA, ENCHANTRESS, ANCIENT APPARITION, KUNKKA
WRAITH KING, DRAGON KNIGHT, MIRANA, PUDGE, INVOKER, ANCIENT APPARITION, SVEN, JUGGERNAUT, SAND KING, NECROPHOS
RIKI, ABADDON, INVOKER, PHANTOM LANCER, SVEN, WINDRANGER, QUEEN OF PAIN, ANCIENT APPARITION, MEDUSA, EARTHSHAKER
PHANTOM ASSASSIN, UNDYING, TINKER, SVEN, MIRANA, ANCIENT APPARITION, WEAVER, AXE, LINA, NIGHT STALKER
MAGNUS, DISRUPTOR, PHANTOM LANCER, JAKIRO, LICH, ANTI-MAGE, OMNIKNIGHT, DARK SEER, QUEEN OF PAIN, WITCH DOCTOR
URSA, LICH, ANTI-MAGE, BOUNTY HUNTER, LYCAN, TIDEHUNTER, VENGEFUL SPIRIT, LONE DRUID, BRISTLEBACK, LEGION COMMANDER
ANTI-MAGE, LICH, WINDRANGER, LESHRAC, ANCIENT APPARITION, TIDEHUNTER, DAZZLE, MAGNUS, EARTH SPIRIT, WINTER WYVERN
CRYSTAL MAIDEN, SLARDAR, ANTI-MAGE, LIFESTEALER, WINDRANGER, PUGNA, MEDUSA, WEAVER, UNDYING, SVEN
MIRANA, SLARK, STORM SPIRIT, AXE, TIMBERSAW, PHOENIX, RUBICK, SHADOW FIEND, BEASTMASTER, ANTI-MAGE
VIPER, SHADOW FIEND, SLARK, GYROCOPTER, BEASTMASTER, BOUNTY HUNTER, ANTI-MAGE, TIMBERSAW, ABADDON, ZEUS
WITCH DOCTOR, PUDGE, SPIRIT BREAKER, LIFESTEALER, ANTI-MAGE, MAGNUS, PHANTOM LANCER, MIRANA, SVEN, ALCHEMIST
MEDUSA, WINDRANGER, SVEN, NECROPHOS, DISRUPTOR, SLARK, BLOODSEEKER, LIFESTEALER, ANTI-MAGE, SHADOW DEMON
BRISTLEBACK, LEGION COMMANDER, EARTHSHAKER, SLARK, OUTWORLD DEVOURER, LION, PUGNA, ANTI-MAGE, PHANTOM ASSASSIN, CENTAUR WARRUNNER
SVEN, ZEUS, TUSK, PUCK, JUGGERNAUT, WITCH DOCTOR, TINKER, DAZZLE, WRAITH KING, ANTI-MAGE
SHADOW FIEND, LEGION COMMANDER, SPIRIT BREAKER, DOOM, TREANT PROTECTOR, TIMBERSAW, INVOKER, VENOMANCER, BOUNTY HUNTER, ARC WARDEN
ARC WARDEN, ORACLE, LION, HUSKAR, LONE DRUID, TEMPLAR ASSASSIN, BOUNTY HUNTER, EARTH SPIRIT, AXE, WRAITH KING
RUBICK, DARK SEER, RIKI, JUGGERNAUT, TINKER, LINA, FACELESS VOID, BLOODSEEKER, ARC WARDEN, SVEN
ALCHEMIST, ARC WARDEN, TIMBERSAW, TECHIES, MIRANA, AXE, URSA, TINY, PUDGE, SNIPER
ALCHEMIST, ABADDON, WITCH DOCTOR, SLARDAR, LINA, KUNKKA, WARLOCK, SLARK, ENIGMA, ARC WARDEN
WRAITH KING, LIFESTEALER, FACELESS VOID, LEGION COMMANDER, ARC WARDEN, SLARDAR, QUEEN OF PAIN, BOUNTY HUNTER, PHANTOM ASSASSIN, BRISTLEBACK
EARTHSHAKER, ZEUS, WARLOCK, PUDGE, LIFESTEALER, ELDER TITAN, SHADOW FIEND, ARC WARDEN, WINDRANGER, WRAITH KING
LEGION COMMANDER, VIPER, PUDGE, ARC WARDEN, URSA, MORPHLING, JUGGERNAUT, BOUNTY HUNTER, WINDRANGER, ABADDON
ARC WARDEN, UNDYING, ANCIENT APPARITION, JUGGERNAUT, SVEN, SLARK, CRYSTAL MAIDEN, MEDUSA, QUEEN OF PAIN, WINTER WYVERN
SVEN, OMNIKNIGHT, LION, ARC WARDEN, SPECTRE, SLARK, DAZZLE, INVOKER, NATURES PROPHET, DRAGON KNIGHT
AXE, PUDGE, JUGGERNAUT, NECROPHOS, MIRANA, CENTAUR WARRUNNER, ALCHEMIST, PHOENIX, MEDUSA, EARTHSHAKER
ALCHEMIST, SLARK, RIKI, EARTH SPIRIT, CRYSTAL MAIDEN, PHANTOM ASSASSIN, AXE, TIMBERSAW, NECROPHOS, PUDGE
BLOODSEEKER, AXE, TERRORBLADE, TREANT PROTECTOR, SLARK, LUNA, DROW RANGER, SKYWRATH MAGE, PHANTOM ASSASSIN, DISRUPTOR
NYX ASSASSIN, SHADOW FIEND, QUEEN OF PAIN, AXE, SLARK, LEGION COMMANDER, ALCHEMIST, LIFESTEALER, ANCIENT APPARITION, WINDRANGER
AXE, LEGION COMMANDER, DAZZLE, ALCHEMIST, PHANTOM LANCER, WINDRANGER, EARTHSHAKER, PHANTOM ASSASSIN, NECROPHOS, VIPER
WINDRANGER, SVEN, AXE, JUGGERNAUT, EARTHSHAKER, ABADDON, QUEEN OF PAIN, LEGION COMMANDER, MAGNUS, TECHIES
MIRANA, TIMBERSAW, PUDGE, JUGGERNAUT, SVEN, RUBICK, AXE, TINKER, PHANTOM LANCER, EARTHSHAKER
OGRE MAGI, AXE, PHANTOM LANCER, ALCHEMIST, ENIGMA, TERRORBLADE, WINTER WYVERN, SHADOW FIEND, SLARDAR, MIRANA
AXE, PUDGE, CLINKZ, ALCHEMIST, OMNIKNIGHT, RIKI, URSA, LIFESTEALER, JUGGERNAUT, QUEEN OF PAIN
TIMBERSAW, BLOODSEEKER, OMNIKNIGHT, AXE, ZEUS, ANCIENT APPARITION, HUSKAR, WINDRANGER, EARTHSHAKER, LIFESTEALER
SLARDAR, SVEN, NECROPHOS, MIRANA, ALCHEMIST, CLINKZ, SPIRIT BREAKER, LESHRAC, BANE, TIMBERSAW
ZEUS, DOOM, JUGGERNAUT, NECROPHOS, BANE, VIPER, PHANTOM ASSASSIN, LICH, PUDGE, EARTHSHAKER
MAGNUS, SNIPER, BANE, LIFESTEALER, TEMPLAR ASSASSIN, PHANTOM LANCER, DROW RANGER, AXE, MIRANA, TINKER
MIRANA, BANE, KUNKKA, MORPHLING, MEEPO, TINY, LEGION COMMANDER, WINDRANGER, INVOKER, BOUNTY HUNTER
TEMPLAR ASSASSIN, MEDUSA, PHOENIX, CLINKZ, BANE, MORPHLING, DISRUPTOR, DEATH PROPHET, SVEN, SPECTRE
BANE, WINDRANGER, NATURES PROPHET, TEMPLAR ASSASSIN, BEASTMASTER, INVOKER, DROW RANGER, CRYSTAL MAIDEN, MEDUSA, QUEEN OF PAIN
BANE, TINY, BOUNTY HUNTER, GYROCOPTER, BREWMASTER, NATURES PROPHET, TECHIES, BRISTLEBACK, TIDEHUNTER, PUCK
INVOKER, KEEPER OF THE LIGHT, SNIPER, NYX ASSASSIN, VENOMANCER, JAKIRO, SKYWRATH MAGE, BANE, WRAITH KING, SHADOW FIEND
BANE, TERRORBLADE, ANCIENT APPARITION, NATURES PROPHET, VIPER, NIGHT STALKER, LEGION COMMANDER, CLOCKWERK, SILENCER, BEASTMASTER
ANCIENT APPARITION, EMBER SPIRIT, MAGNUS, INVOKER, BOUNTY HUNTER, LYCAN, BANE, KEEPER OF THE LIGHT, JUGGERNAUT, CLINKZ
BOUNTY HUNTER, BATRIDER, TIMBERSAW, INVOKER, SVEN, TINKER, ZEUS, WEAVER, LIFESTEALER, DARK SEER
WINDRANGER, PUCK, ZEUS, MEDUSA, NATURES PROPHET, CLOCKWERK, PUGNA, DARK SEER, BATRIDER, SHADOW FIEND
BATRIDER, ABADDON, NECROPHOS, TEMPLAR ASSASSIN, LION, AXE, SVEN, SNIPER, LYCAN, NYX ASSASSIN
DROW RANGER, AXE, BATRIDER, FACELESS VOID, BOUNTY HUNTER, ALCHEMIST, WRAITH KING, URSA, CRYSTAL MAIDEN, NATURES PROPHET
SPIRIT BREAKER, OGRE MAGI, DRAGON KNIGHT, BATRIDER, GYROCOPTER, INVOKER, WINDRANGER, PHANTOM ASSASSIN, MIRANA, SAND KING
BATRIDER, TEMPLAR ASSASSIN, DRAGON KNIGHT, PHANTOM ASSASSIN, RUBICK, MORPHLING, TIMBERSAW, SHADOW FIEND, TINKER, DAZZLE
BATRIDER, DROW RANGER, INVOKER, WEAVER, BRISTLEBACK, SLARDAR, PHOENIX, ABADDON, RAZOR, VENGEFUL SPIRIT
MIRANA, MORPHLING, LEGION COMMANDER, WINDRANGER, BOUNTY HUNTER, PHANTOM ASSASSIN, BATRIDER, EARTHSHAKER, ABADDON, SHADOW FIEND
UNDYING, ELDER TITAN, SLARDAR, SPECTRE, BEASTMASTER, BATRIDER, TIDEHUNTER, SHADOW FIEND, KUNKKA, SLARK
WRAITH KING, BATRIDER, NATURES PROPHET, RAZOR, ELDER TITAN, HUSKAR, PHANTOM ASSASSIN, AXE, WARLOCK, SPIRIT BREAKER
BEASTMASTER, TINY, ALCHEMIST, SLARK, EARTHSHAKER, TINKER, NATURES PROPHET, NYX ASSASSIN, CHAOS KNIGHT, SHADOW SHAMAN
NIGHT STALKER, RIKI, BEASTMASTER, FACELESS VOID, EARTHSHAKER, SLARK, TIDEHUNTER, LION, SVEN, SHADOW FIEND
TEMPLAR ASSASSIN, CHAOS KNIGHT, JAKIRO, TREANT PROTECTOR, FACELESS VOID, MORPHLING, BEASTMASTER, TECHIES, BOUNTY HUNTER, ANCIENT APPARITION
TIMBERSAW, SNIPER, SPECTRE, LIFESTEALER, ABADDON, AXE, SVEN, EARTHSHAKER, DARK SEER, SHADOW FIEND
ENIGMA, WITCH DOCTOR, SVEN, NATURES PROPHET, BOUNTY HUNTER, ALCHEMIST, PUCK, BEASTMASTER, ANCIENT APPARITION, NAGA SIREN
SKYWRATH MAGE, NATURES PROPHET, BEASTMASTER, BOUNTY HUNTER, RIKI, SLARK, LION, CLINKZ, PHANTOM LANCER, BLOODSEEKER
BEASTMASTER, ABADDON, SHADOW SHAMAN, UNDYING, FACELESS VOID, VIPER, DROW RANGER, MEDUSA, PUDGE, EARTHSHAKER
TROLL WARLORD, SNIPER, VENGEFUL SPIRIT, SHADOW FIEND, CRYSTAL MAIDEN, NATURES PROPHET, BEASTMASTER, INVOKER, LEGION COMMANDER, FACELESS VOID
ANCIENT APPARITION, LONE DRUID, QUEEN OF PAIN, BEASTMASTER, PHANTOM ASSASSIN, BRISTLEBACK, NAGA SIREN, SPIRIT BREAKER, ALCHEMIST, PHOENIX
BLOODSEEKER, RAZOR, OGRE MAGI, VENGEFUL SPIRIT, WINDRANGER, SLARK, CHAOS KNIGHT, BEASTMASTER, KUNKKA, MEEPO
URSA, TIMBERSAW, BLOODSEEKER, OGRE MAGI, BRISTLEBACK, PUDGE, DRAGON KNIGHT, ALCHEMIST, SHADOW DEMON, KUNKKA
EARTHSHAKER, BLOODSEEKER, PHANTOM ASSASSIN, ABADDON, SAND KING, WINDRANGER, PUGNA, LICH, INVOKER, TIMBERSAW
WINDRANGER, LIFESTEALER, BLOODSEEKER, BANE, MAGNUS, PUDGE, SNIPER, TIMBERSAW, SHADOW DEMON, NIGHT STALKER
OMNIKNIGHT, RIKI, LEGION COMMANDER, TINKER, BLOODSEEKER, INVOKER, PHANTOM ASSASSIN, ANTI-MAGE, KUNKKA, EMBER SPIRIT
EARTHSHAKER, BLOODSEEKER, SNIPER, MIRANA, TROLL WARLORD, TUSK, PHANTOM ASSASSIN, PUDGE, PUCK, AXE
TROLL WARLORD, CLINKZ, EARTHSHAKER, RIKI, ABADDON, WINDRANGER, SNIPER, BLOODSEEKER, PHANTOM ASSASSIN, LIFESTEALER
ALCHEMIST, CENTAUR WARRUNNER, DROW RANGER, LEGION COMMANDER, TECHIES, BLOODSEEKER, ANCIENT APPARITION, MAGNUS, SPECTRE, WINDRANGER
KUNKKA, BLOODSEEKER, PHANTOM ASSASSIN, CRYSTAL MAIDEN, ALCHEMIST, PUDGE, VIPER, OMNIKNIGHT, SVEN, RIKI
PUDGE, SLARK, TUSK, SNIPER, BLOODSEEKER, VENGEFUL SPIRIT, INVOKER, SKYWRATH MAGE, SPIRIT BREAKER, NATURES PROPHET
BOUNTY HUNTER, PUDGE, HUSKAR, SPIRIT BREAKER, SVEN, TECHIES, LION, MORPHLING, BLOODSEEKER, INVOKER
EMBER SPIRIT, QUEEN OF PAIN, SNIPER, BOUNTY HUNTER, TIDEHUNTER, JUGGERNAUT, LION, CLOCKWERK, TUSK, INVOKER
STORM SPIRIT, LEGION COMMANDER, PUDGE, INVOKER, MIRANA, WINDRANGER, JUGGERNAUT, MEDUSA, BOUNTY HUNTER, WRAITH KING
URSA, SHADOW SHAMAN, VIPER, BOUNTY HUNTER, INVOKER, SLARK, TUSK, JUGGERNAUT, QUEEN OF PAIN, WITCH DOCTOR
CRYSTAL MAIDEN, TINKER, HUSKAR, VENGEFUL SPIRIT, PHANTOM ASSASSIN, DEATH PROPHET, PUDGE, SVEN, TIMBERSAW, BOUNTY HUNTER
LION, TINKER, EMBER SPIRIT, SLARDAR, AXE, WINDRANGER, KUNKKA, PUCK, BOUNTY HUNTER, NATURES PROPHET
ALCHEMIST, BOUNTY HUNTER, SLARDAR, RUBICK, SILENCER, ENIGMA, DRAGON KNIGHT, WINDRANGER, PUDGE, SPECTRE
ENIGMA, FACELESS VOID, TIDEHUNTER, EARTH SPIRIT, LIFESTEALER, RUBICK, JUGGERNAUT, PHANTOM ASSASSIN, BOUNTY HUNTER, VIPER
WINDRANGER, SAND KING, BOUNTY HUNTER, RIKI, LEGION COMMANDER, KUNKKA, DISRUPTOR, TIMBERSAW, TROLL WARLORD, INVOKER
STORM SPIRIT, SNIPER, WEAVER, DROW RANGER, LINA, LIFESTEALER, SVEN, LION, BOUNTY HUNTER, TECHIES
ABADDON, ABADDON, BOUNTY HUNTER, SHADOW FIEND, NYX ASSASSIN, SPIRIT BREAKER, VENOMANCER, TIMBERSAW, LIFESTEALER, WINDRANGER
LEGION COMMANDER, PUDGE, PHANTOM ASSASSIN, DROW RANGER, DEATH PROPHET, ZEUS, BREWMASTER, TIMBERSAW, TINKER, TROLL WARLORD
TIMBERSAW, KEEPER OF THE LIGHT, BREWMASTER, SHADOW FIEND, INVOKER, WINDRANGER, ZEUS, BLOODSEEKER, PUDGE, PHANTOM ASSASSIN
VIPER, JUGGERNAUT, WITCH DOCTOR, VENOMANCER, SVEN, BREWMASTER, PHANTOM ASSASSIN, INVOKER, RIKI, CRYSTAL MAIDEN
BREWMASTER, RIKI, SPIRIT BREAKER, STORM SPIRIT, INVOKER, EARTH SPIRIT, SLARK, BOUNTY HUNTER, PHANTOM ASSASSIN, FACELESS VOID
BREWMASTER, TINKER, RIKI, PHOENIX, NATURES PROPHET, SHADOW SHAMAN, JUGGERNAUT, ENIGMA, PUCK, WEAVER
MORPHLING, SLARK, BREWMASTER, ZEUS, SVEN, DROW RANGER, FACELESS VOID, SPIRIT BREAKER, DRAGON KNIGHT, CLOCKWERK
GYROCOPTER, BLOODSEEKER, BREWMASTER, CRYSTAL MAIDEN, INVOKER, EMBER SPIRIT, SLARK, DRAGON KNIGHT, AXE, PHANTOM ASSASSIN
BREWMASTER, SPECTRE, SPIRIT BREAKER, SHADOW FIEND, NECROPHOS, JUGGERNAUT, EARTHSHAKER, VENOMANCER, URSA, SNIPER
PUDGE, BREWMASTER, SLARDAR, MORPHLING, MEEPO, SNIPER, PHANTOM ASSASSIN, BEASTMASTER, CENTAUR WARRUNNER, EARTH SPIRIT
STORM SPIRIT, PHANTOM ASSASSIN, SLARK, SILENCER, BREWMASTER, ALCHEMIST, SAND KING, BOUNTY HUNTER, ELDER TITAN, SVEN
BRISTLEBACK, LION, RIKI, MEEPO, PUDGE, QUEEN OF PAIN, ELDER TITAN, NECROPHOS, INVOKER, AXE
WINDRANGER, QUEEN OF PAIN, INVOKER, BRISTLEBACK, SNIPER, SVEN, ANTI-MAGE, LEGION COMMANDER, TINKER, BROODMOTHER
VENOMANCER, WEAVER, SPIRIT BREAKER, BRISTLEBACK, ALCHEMIST, PUDGE, CRYSTAL MAIDEN, PHANTOM ASSASSIN, TEMPLAR ASSASSIN, SILENCER
SKYWRATH MAGE, LEGION COMMANDER, PUDGE, SLARDAR, SPIRIT BREAKER, PHANTOM ASSASSIN, SVEN, BRISTLEBACK, SNIPER, SHADOW FIEND
RIKI, SVEN, DAZZLE, PUDGE, BRISTLEBACK, SPECTRE, OMNIKNIGHT, PHANTOM ASSASSIN, PUCK, ANTI-MAGE
DRAGON KNIGHT, PHANTOM ASSASSIN, TIMBERSAW, QUEEN OF PAIN, ENIGMA, WINDRANGER, JUGGERNAUT, BOUNTY HUNTER, BRISTLEBACK, CLINKZ
LEGION COMMANDER, RAZOR, SNIPER, BLOODSEEKER, PUDGE, BRISTLEBACK, BEASTMASTER, QUEEN OF PAIN, OMNIKNIGHT, WEAVER
BRISTLEBACK, BLOODSEEKER, RIKI, NECROPHOS, STORM SPIRIT, NYX ASSASSIN, RAZOR, SILENCER, ABADDON, BOUNTY HUNTER
BREWMASTER, ANTI-MAGE, ANCIENT APPARITION, SVEN, WITCH DOCTOR, TERRORBLADE, OGRE MAGI, PHANTOM ASSASSIN, BRISTLEBACK, AXE
DISRUPTOR, STORM SPIRIT, VENGEFUL SPIRIT, PHANTOM ASSASSIN, BRISTLEBACK, NECROPHOS, SLARK, HUSKAR, DAZZLE, WINDRANGER
CLINKZ, BROODMOTHER, WINDRANGER, JUGGERNAUT, OUTWORLD DEVOURER, HUSKAR, SLARK, LIFESTEALER, MORPHLING, DAZZLE
PHANTOM ASSASSIN, NATURES PROPHET, DISRUPTOR, UNDYING, STORM SPIRIT, BROODMOTHER, KUNKKA, TERRORBLADE, LONE DRUID, SPIRIT BREAKER
PHANTOM ASSASSIN, TUSK, HUSKAR, OMNIKNIGHT, ELDER TITAN, BROODMOTHER, EARTHSHAKER, NATURES PROPHET, DROW RANGER, URSA
BRISTLEBACK, MEDUSA, QUEEN OF PAIN, TROLL WARLORD, TERRORBLADE, PHOENIX, SNIPER, LIFESTEALER, RIKI, BROODMOTHER
BROODMOTHER, DISRUPTOR, JUGGERNAUT, STORM SPIRIT, SPECTRE, TINKER, BATRIDER, SVEN, OMNIKNIGHT, TIDEHUNTER
UNDYING, BRISTLEBACK, JAKIRO, SLARDAR, ANTI-MAGE, AXE, GYROCOPTER, LEGION COMMANDER, PHANTOM ASSASSIN, BROODMOTHER
OUTWORLD DEVOURER, EARTH SPIRIT, DRAGON KNIGHT, AXE, PUCK, LIFESTEALER, RAZOR, BROODMOTHER, JUGGERNAUT, SNIPER
SLARK, JAKIRO, PUDGE, PHANTOM LANCER, MAGNUS, SPIRIT BREAKER, BROODMOTHER, CRYSTAL MAIDEN, STORM SPIRIT, SNIPER
EARTHSHAKER, SHADOW DEMON, VIPER, PUDGE, PHANTOM LANCER, SVEN, WRAITH KING, NECROPHOS, LEGION COMMANDER, BROODMOTHER
BROODMOTHER, LEGION COMMANDER, MIRANA, DROW RANGER, CRYSTAL MAIDEN, SAND KING, TROLL WARLORD, JUGGERNAUT, DAZZLE, CENTAUR WARRUNNER
BRISTLEBACK, LEGION COMMANDER, EARTHSHAKER, SLARK, OUTWORLD DEVOURER, LION, PUGNA, ANTI-MAGE, PHANTOM ASSASSIN, CENTAUR WARRUNNER
MIRANA, PUGNA, ENCHANTRESS, VENGEFUL SPIRIT, SNIPER, QUEEN OF PAIN, CENTAUR WARRUNNER, LIFESTEALER, PUDGE, SPECTRE
INVOKER, LIFESTEALER, BLOODSEEKER, OGRE MAGI, WARLOCK, CRYSTAL MAIDEN, CENTAUR WARRUNNER, MORPHLING, OMNIKNIGHT, MEDUSA
TREANT PROTECTOR, EMBER SPIRIT, DISRUPTOR, CENTAUR WARRUNNER, JUGGERNAUT, SNIPER, WITCH DOCTOR, LEGION COMMANDER, INVOKER, SPIRIT BREAKER
TIDEHUNTER, OUTWORLD DEVOURER, CRYSTAL MAIDEN, BOUNTY HUNTER, JUGGERNAUT, LEGION COMMANDER, CENTAUR WARRUNNER, SILENCER, SNIPER, HUSKAR
QUEEN OF PAIN, BOUNTY HUNTER, LONE DRUID, AXE, SLARK, MIRANA, PHANTOM ASSASSIN, ALCHEMIST, TROLL WARLORD, CENTAUR WARRUNNER
RUBICK, TINKER, AXE, SILENCER, MIRANA, RIKI, LION, SNIPER, CENTAUR WARRUNNER, BROODMOTHER
LEGION COMMANDER, MIRANA, SPECTRE, NECROPHOS, LIFESTEALER, INVOKER, RIKI, CENTAUR WARRUNNER, MORPHLING, HUSKAR
PHANTOM ASSASSIN, NATURES PROPHET, SAND KING, URSA, CENTAUR WARRUNNER, QUEEN OF PAIN, EARTHSHAKER, RIKI, HUSKAR, PUDGE
SVEN, SNIPER, CENTAUR WARRUNNER, NYX ASSASSIN, NECROPHOS, PHANTOM LANCER, SHADOW FIEND, PUDGE, TIMBERSAW, HUSKAR
LIFESTEALER, SHADOW DEMON, CHAOS KNIGHT, CRYSTAL MAIDEN, WRAITH KING, VENGEFUL SPIRIT, MEEPO, INVOKER, MAGNUS, WARLOCK
DRAGON KNIGHT, LINA, ZEUS, SPIRIT BREAKER, TERRORBLADE, VENOMANCER, PHANTOM LANCER, CHAOS KNIGHT, WEAVER, EARTHSHAKER
DROW RANGER, LUNA, SNIPER, URSA, JUGGERNAUT, CHAOS KNIGHT, PHANTOM ASSASSIN, LEGION COMMANDER, RIKI, SLARK
ALCHEMIST, LICH, LION, LEGION COMMANDER, CHAOS KNIGHT, ZEUS, TIMBERSAW, TINKER, HUSKAR, JUGGERNAUT
PUDGE, CRYSTAL MAIDEN, CHAOS KNIGHT, PHANTOM ASSASSIN, EMBER SPIRIT, LUNA, BLOODSEEKER, DROW RANGER, GYROCOPTER, URSA
DARK SEER, PUDGE, JAKIRO, RIKI, CHAOS KNIGHT, SVEN, OGRE MAGI, ANTI-MAGE, SPIRIT BREAKER, VENGEFUL SPIRIT
CHAOS KNIGHT, CRYSTAL MAIDEN, TIMBERSAW, PUDGE, SVEN, ANTI-MAGE, NATURES PROPHET, MIRANA, LION, LEGION COMMANDER
VENGEFUL SPIRIT, DROW RANGER, SVEN, ALCHEMIST, ANTI-MAGE, PUDGE, CHAOS KNIGHT, MORPHLING, LYCAN, SNIPER
PHANTOM ASSASSIN, SLARDAR, SHADOW SHAMAN, SVEN, OMNIKNIGHT, CRYSTAL MAIDEN, BOUNTY HUNTER, SLARK, TECHIES, CHAOS KNIGHT
CHAOS KNIGHT, AXE, TROLL WARLORD, URSA, DROW RANGER, EARTH SPIRIT, WINTER WYVERN, INVOKER, RIKI, TECHIES
SPECTRE, WITCH DOCTOR, HUSKAR, LEGION COMMANDER, EARTH SPIRIT, JAKIRO, JUGGERNAUT, AXE, CHEN, CRYSTAL MAIDEN
LIFESTEALER, RAZOR, ALCHEMIST, SVEN, MIRANA, JUGGERNAUT, SPIRIT BREAKER, INVOKER, CHEN, ELDER TITAN
ZEUS, LEGION COMMANDER, MORPHLING, CHEN, KUNKKA, PHANTOM ASSASSIN, STORM SPIRIT, INVOKER, TERRORBLADE, OGRE MAGI
LIFESTEALER, SPIRIT BREAKER, PHANTOM ASSASSIN, HUSKAR, NIGHT STALKER, URSA, CHEN, BRISTLEBACK, SHADOW FIEND, CRYSTAL MAIDEN
JUGGERNAUT, SILENCER, PUDGE, NYX ASSASSIN, RIKI, MORPHLING, LEGION COMMANDER, ANCIENT APPARITION, CHEN, AXE
QUEEN OF PAIN, KUNKKA, WITCH DOCTOR, URSA, AXE, FACELESS VOID, SLARK, NECROPHOS, CHEN, PHOENIX
